x,y
113.866028,22.579141
113.952721,22.542109
113.876581,22.554441
113.940686,22.626858
113.86456,22.618209
113.9385,22.544625
113.93296200000002,22.502724
113.859023,22.580609
113.942183,22.532449
113.89086100000002,22.60152
113.884118,22.57384
113.861644,22.573282
113.943549,22.502712
113.935204,22.486406
113.953441,22.529328
113.971117,22.549391
113.91948899999998,22.54262
113.921937,22.507961
113.954008,22.568748
113.945204,22.529016
113.858981,22.580807
113.934931,22.487411
113.933885,22.487038
113.866998,22.597599
113.922783,22.54458
113.912433,22.528832
113.980742,22.561608
113.862302,22.606322
113.939019,22.513239
113.856915,22.605583
113.929996,22.517326
113.929814,22.516772
113.859698,22.578544
113.928871,22.487156
113.974767,22.563702
113.861469,22.621286
113.862141,22.589516
113.869584,22.568692
113.856744,22.588842
113.918364,22.528339000000006
113.942724,22.509563
113.969507,22.548774
113.941323,22.526453
113.977033,22.554559
113.922759,22.507044
113.899181,22.480665
113.952426,22.568954
113.918906,22.527583
113.860498,22.587623
113.86517,22.553538
113.932536,22.5159
113.886066,22.591493
113.954348,22.565443
113.904603,22.579297
113.969275,22.577763
113.954357,22.565678
113.891948,22.577228
113.922964,22.507717
113.920331,22.503921
113.922175,22.526009
113.889773,22.604717
113.863891,22.554092
113.921429,22.512358
113.934464,22.528623
113.925002,22.544623
113.901394,22.514919
113.943077,22.581452
113.956079,22.543003
113.922406,22.507664
113.943022,22.533711
113.954239,22.565691
113.907237,22.560577
113.981372,22.561613
113.919407,22.520856
113.924542,22.521696
113.983275,22.561985
113.96759,22.533998
113.852806,22.597615
113.921482,22.50753
113.891222,22.591199
113.862608,22.5812
113.850542,22.602688
113.89678,22.477394
113.92782,22.50191
113.984225,22.586081
113.866262,22.581403
113.91953,22.493502
113.946277,22.533808
113.922682,22.487082
113.921727,22.544543
113.954534,22.565913
113.970283,22.567812
113.915259,22.507997
113.917517,22.505346
113.95001200000002,22.562353
113.951316,22.541697
113.964925,22.525754
113.908445,22.579007
113.92906,22.490428
113.922319,22.508328
113.935671,22.540387
113.95801000000002,22.583355
113.867999,22.55903
113.967691,22.533907
113.923541,22.544605
113.959229,22.571974
113.921623,22.510955
113.918868,22.529568
113.877149,22.549107
113.866771,22.570474
113.900059,22.56575
113.938859,22.494598
113.86423700000002,22.587355
113.878679,22.502537
113.889039,22.55945
113.888715,22.500817
113.952491,22.576933
113.861733,22.584053
113.868018,22.597854
113.859184,22.580757
113.919672,22.523822
113.929909,22.520359
113.887769,22.583437
113.919035,22.52734
113.91686,22.502749
113.869052,22.593694
113.953415,22.562553
113.898232,22.527334
113.938632,22.541336
113.876484,22.554352
113.931121,22.486985
113.939443,22.541079
113.880283,22.566973
113.948508,22.582061
113.881925,22.588908
113.938801,22.545003
113.913815,22.544435
113.940309,22.518212
113.952011,22.556647
113.981114,22.562264000000006
113.870039,22.555093
113.931653,22.521228
113.852587,22.573317000000007
113.973121,22.623271
113.974318,22.538857
113.931917,22.497772
113.894807,22.588466
113.942536,22.580481
113.854016,22.563852
113.934989,22.506379000000006
113.905904,22.567437
113.922766,22.513875
113.934263,22.506625
113.972882,22.623093
113.946216,22.533849
113.878772,22.596199
113.966092,22.532146
113.930376,22.517142
113.923002,22.507676
113.9506,22.540348
113.933631,22.502603
113.867175,22.570662
113.938209,22.516954
113.940852,22.622748
113.954025,22.565466
113.943549,22.502425
113.855628,22.575787
113.922098,22.507934
113.923977,22.528379
113.961867,22.563688
113.893082,22.588245
113.973122,22.538986
113.939912,22.526999
113.866764,22.570374
113.894045,22.550143
113.929675,22.570216
113.924718,22.512289000000006
113.92187,22.533588
113.870451,22.577875
113.924722,22.546348
113.859109,22.571415
113.981313,22.56164
113.919057,22.536723
113.892894,22.560812
113.954704,22.565838
113.851344,22.56452
113.860388,22.612713
113.902954,22.571886
113.941263,22.526819
113.985347,22.585129
113.981168,22.561828
113.913921,22.515213
113.91711399999998,22.540774
113.888576,22.607811
113.916047,22.508509
113.932692,22.508974
113.878145,22.50196
113.881763,22.567784
113.947937,22.58222
113.924767,22.54644
113.941507,22.532118
113.921785,22.543594
113.885744,22.57116
113.958748,22.629584
113.940261,22.506284
113.887439,22.570986
113.855004,22.602754
113.853175,22.588568
113.921819,22.507966
113.920845,22.514016
113.971802,22.581383
113.923384,22.505386
113.923757,22.505769
113.88105,22.590197
113.948939,22.533562
113.944654,22.533863
113.880821,22.575125
113.879334,22.554603
113.868619,22.604131
113.948487,22.534063
113.875677,22.576655
113.894675,22.500561
113.932668,22.508809
113.921865,22.588232
113.898617,22.528176
113.916628,22.504994
113.952822,22.576552
113.901016,22.555084
113.928178,22.48564
113.963984,22.596165
113.954171,22.565645
113.951957,22.580181
113.969758,22.578657
113.985842,22.561531
113.921543,22.512967
113.930286,22.479384
113.948573,22.580966
113.94586,22.586619
113.862778,22.625286
113.937639,22.57989
113.923074,22.507198
113.926266,22.540519
113.87177,22.577911
113.918355,22.487286
113.875245,22.555656
113.934192,22.486212
113.923004,22.485067
113.890335,22.479797
113.90035,22.558699
113.874577,22.586386
113.919058,22.527999
113.871046,22.593223
113.904031,22.576045
113.922393,22.507429
113.921296,22.507982
113.92257,22.514821
113.930438,22.502953
113.939007,22.541273
113.861976,22.604891
113.965231,22.530382
113.866326,22.581079000000006
113.894749,22.500326
113.939483,22.549801
113.940518,22.532477
113.936017,22.631501
113.860681,22.620959
113.920728,22.489803
113.920634,22.53002
113.915658,22.515934
113.92544,22.508075
113.934114,22.49719
113.92963799999998,22.531805
113.87346399999998,22.59663
113.93223,22.515688
113.863966,22.587057
113.925974,22.537918
113.883684,22.577756
113.863978,22.586959
113.94702,22.534337
113.86153600000002,22.587888
113.939284,22.629939
113.88524,22.579812
113.98176399999998,22.561344
113.939629,22.506608
113.85476,22.602317000000006
113.916427,22.581849
113.979813,22.55174
113.937686,22.558176
113.905938,22.564838
113.859991,22.588358
113.910699,22.537402
113.933919,22.495785
113.933851,22.496525
113.875208,22.577707
113.899984,22.529757
113.916107,22.506099
113.891788,22.567654
113.919059,22.587827
113.921949,22.513678
113.916364,22.53399
113.861602,22.58124
113.929879,22.501949
113.847235,22.611429
113.939862,22.622806
113.888773,22.558107
113.888794,22.567581
113.8672,22.578156
113.939384,22.558252
113.854473,22.590508
113.921708,22.508019
113.942306,22.558676
113.861075,22.585948
113.866589,22.567819
113.943057,22.529607
113.866771,22.570231
113.883974,22.588182
113.912293,22.530783
113.887549,22.599411
113.900173,22.468399
113.881624,22.572611
113.918503,22.503346
113.946441,22.588272
113.88935,22.598949
113.889098,22.466912
113.901054,22.556492
113.888103,22.561781
113.94268999999998,22.533073
113.948333,22.583676
113.918923,22.527531
113.90628,22.510578
113.983569,22.621879
113.864533,22.584309
113.873735,22.588502
113.933942,22.568291
113.951192,22.581173
113.917485,22.505404
113.922686,22.510302
113.865733,22.604427
113.85925,22.574545
113.893565,22.586602
113.898318,22.573603
113.86463,22.585754
113.911939,22.516169
113.921672,22.542455
113.982729,22.585215
113.880018,22.565389
113.924813,22.508369
113.913744,22.574904
113.920773,22.539483
113.920007,22.522271
113.914097,22.580397
113.921738,22.527838
113.900261,22.468149
113.990003,22.553434
113.862171,22.572845
113.927702,22.501887
113.953327,22.562815
113.868058,22.577478
113.918928,22.527538
113.880634,22.591917
113.87489,22.568773
113.922539,22.525458
113.899089,22.505236
113.970758,22.581849
113.917598,22.505403
113.864101,22.587355
113.885195,22.583217
113.95262,22.583497
113.893072,22.551398
113.941445,22.519701
113.935618,22.522701
113.923261,22.507673
113.870826,22.560243
113.900305,22.576669
113.921944,22.507766
113.989934,22.602696
113.945457,22.536724
113.945909,22.585344
113.895023,22.49887
113.91613999999998,22.575165
113.91338,22.51433
113.927447,22.501951
113.925884,22.516172
113.905927,22.528624
113.859073,22.580639
113.933498,22.502554
113.92648,22.50171
113.952041,22.575475
113.886969,22.5096
113.865574,22.583891
113.962579,22.569132
113.856015,22.584181
113.92564,22.549379
113.87573700000002,22.576025
113.911897,22.570533
113.904238,22.579734
113.89695,22.477854
113.929921,22.50016
113.86166,22.572752
113.868128,22.576666
113.8711,22.505386
113.888971,22.500938
113.900325,22.558524
113.860429,22.580802
113.889952,22.577806
113.91364,22.574849
113.862179,22.618054
113.901158,22.502961
113.867358,22.570455
113.901269,22.556484
113.922672,22.528939
113.853279,22.588803
113.939813,22.619097
113.951471,22.543861
113.899508,22.530096
113.873596,22.566473
113.919916,22.501191
113.916923,22.527568
113.878545,22.576058
113.928159,22.50184
113.933101,22.509247
113.951321,22.543758
113.885121,22.566319
113.878527,22.584749
113.980659,22.551209
113.947372,22.58721
113.924851,22.550601
113.925226,22.505096
113.954707,22.565556
113.902723,22.558128
113.879204,22.576387
113.852555,22.589991
113.939707,22.506344
113.848763,22.563377
113.99128600000002,22.596287
113.879815,22.564852
113.923381,22.505995
113.873613,22.574629
113.964041,22.571809
113.902824,22.573441
113.868514,22.604733
113.892042,22.561115
113.932481,22.514842
113.897607,22.574058
113.934992,22.499069
113.925209,22.484032
113.892223,22.587596
113.860445,22.56465
113.918799,22.527501
113.921909,22.507272
113.982028,22.558042
113.866603,22.570238
113.933259,22.507055
113.91943700000002,22.492662
113.857293,22.616637
113.969117,22.583816
113.922378,22.506851
113.861609,22.617604
113.921999,22.507437
113.983809,22.537932
113.976264,22.56106
113.930315,22.584963
113.982883,22.561166
113.977,22.621158
113.855772,22.618718
113.889716,22.57658
113.874608,22.586166
113.925775,22.508527
113.949217,22.551544
113.872036,22.574104
113.923811,22.485858
113.865368,22.605383
113.898893,22.527517
113.923039,22.507636
113.861682,22.587544
113.860639,22.563521
113.860482,22.566277
113.910648,22.543364
113.982932,22.561989
113.903495,22.57313
113.900461,22.575264
113.92375,22.533709
113.86921,22.595864
113.897044,22.477608
113.965942,22.533415
113.874512,22.587801
113.85935,22.581057
113.942456,22.500588
113.886819,22.572336
113.924926,22.505326
113.87158,22.601281
113.91012,22.513456
113.920138,22.576891
113.922408,22.512581
113.927775,22.501838
113.967476,22.534519
113.967616,22.593312
113.939923,22.541123
113.884465,22.591789
113.866474,22.567873
113.866507,22.556365
113.861968,22.597878
113.951119,22.567414000000007
113.883043,22.566959
113.861017,22.590734
113.94326,22.502241
113.875383,22.55594
113.878291,22.54867
113.923261,22.506798
113.977845,22.553605
113.85813,22.586511
113.87238,22.596488
113.970705,22.583104
113.916347,22.582184
113.985015,22.5881
113.891436,22.489559
113.909707,22.572478
113.932427,22.584366
113.872999,22.576263
113.953392,22.56249
113.87966000000002,22.592957
113.930236,22.584528
113.862186,22.574667
113.904094,22.572821
113.931532,22.587152
113.872457,22.579437
113.943167,22.542338
113.90533,22.569313
113.908039,22.556966
113.99161,22.521541
113.864517,22.583062
113.897045,22.580235
113.952926,22.581486
113.87222,22.561939
113.858839,22.589025
113.918999,22.527351
113.874132,22.559613
113.864039,22.555562
113.921478,22.512363
113.887661,22.610242
113.95001,22.583607
113.948037,22.574673
113.986956,22.589507
113.85005,22.604344
113.969497,22.57781
113.885563,22.558353
113.887487,22.481393
113.927973,22.550671
113.978873,22.562819
113.921527,22.513055
113.93959,22.541646
113.864563,22.585693
113.890227,22.600334
113.953962,22.579415
113.887594,22.599312
113.956134,22.565524
113.868973,22.579817
113.95566,22.559389000000003
113.892019,22.567537
113.924632,22.546068
113.946344,22.584202
113.860128,22.600337
113.93353799999998,22.519762
113.894427,22.561005
113.92327,22.522149
113.924461,22.485537
113.888389,22.566721
113.859803,22.587327
113.872691,22.58908
113.858881,22.580811
113.92512,22.54934
113.868134,22.564908
113.927167,22.507766
113.867461,22.56856
113.866874,22.570112
113.922051,22.521788
113.92791,22.502013
113.920876,22.50853
113.982819,22.547466
